ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9788521310891,Nobel,Estrelas e Planetas: Guia Prático,Nobel,1999,Astronomia,15,Português,Dura,251,19 x 15 cm,64
9788520919866,Michael J. Losier,A lei da Atração: O Segredo Colocado em Prática,Nova Fronteira,2007,Autoajuda,10,Português,Comum,246,21 x 14 cm,192
9788575424483,Malcolm Gladwell,Fora de Série: Outliers,Sextante,2008,Autoajuda,20,Português,Comum,385,21 x 14 cm,288
ND,Pandiá Pându; Ana Pându,Que Nome Darei ao Meu Filho?,Ediouro,1977,Autoajuda,10,Português,Comum,374,20 x 15 cm,290
9788568014325,Dr. Joe Dispenza,Quebrando o Hábito de Ser Você Mesmo,Citadel,2018,Autoajuda,20,Português,Comum,497,23 x 16 cm,352
97885280042280,Maximo Gorki,Como Aprendi a Escrever,Mercado Aberto,1998,Biografias,10,Português,Comum,69,15 x 10 cm,68
9786559980390,Czeslaw Milosz,Mente Cativa,Âyiné,2022,Biografias,50,Português,Comum,386,22 x 14 cm,292
9788562684005,Gustavo M. Baptista,Aquecimento Global: Ciência ou Religião?,Interlândia,2009,Ciências,40,Português,Comum,358,23 x 16 cm,188
9788526217379,Machado de Assis; Outros,A Palavra é... Interior,Scipione,1991,Contos,10,Português,Comum,160,21 x 14 cm,120
9788598581057,Alberico Rodrigues,Banquete de Contos e Poesias,Mentes Raras,2008,Contos,10,Português,Comum,265,22 x 15 cm,150
ND,Machado de Assis,Contos,Objetivo,ND,Contos,10,Português,Comum,157,21 x 14 cm,120
ND,Oscar Wilde,Contos,LDA,1988,Contos,10,Português,Comum,88,18 x 13 cm,96
9788578990541,Irineu Borges do Nascimento,Contos & Patacoadas,In House,2011,Contos,10,Português,Comum,312,21 x 14 cm,200
ND,Altair Oliveira; Outros,Contos da Terra... Contos da Garoa,Voz do Cenáculo,ND,Contos,10,Português,Comum,197,21 x 14 cm,148
9788532515148,William Bernhardt; Outros,Contos Legais,Rocco,2003,Contos,10,Português,Comum,420,21 x 14 cm,338
9788574801414,Rodrigo Penteado,Corrupção: 18 Contos,Ateliê,2002,Contos,10,Português,Comum,290,21 x 14 cm,200
ND,Lima Barreto,O Homem que Sabia Javanês,EDUSC,1999,Contos,10,Português,Comum,44,16 x 10 cm,28
